ID,NAME,SMILES,NaClg/L,Temp,Concentration,IE
11267,"2-mercapto-4,6-dimethylpyrimidine",Cc1cc(C)[nH]c(=S)n1,24.5,353K,5mg/L,97.30%
11268,"2-mercapto-4,6-dimethylpyrimidine",Cc1cc(C)[nH]c(=S)n1,24.5,353K,1mg/L,95.00%
11269,"2-mercapto-4,6-dimethylpyrimidine",Cc1cc(C)[nH]c(=S)n1,24.5,353K,0.5mg/L,91.60%
11270,"2-mercapto-4,6-dimethylpyrimidine",Cc1cc(C)[nH]c(=S)n1,24.5,353K,0.25mg/L,88.30%
11271,"2-mercapto-4,6-dimethylpyrimidine",Cc1cc(C)[nH]c(=S)n1,24.5,353K,0.1mg/L,89.30%
11272,"2-mercapto-4,6-dimethylpyrimidine hydrochloride",Cc1cc(C)[nH+]c(=S)[nH]1.[Cl-],24.5,353K,25mg/L,96.20%
11273,"2-mercapto-4,6-dimethylpyrimidine hydrochloride",Cc1cc(C)[nH+]c(=S)[nH]1.[Cl-],24.5,353K,2.5mg/L,94.10%
11274,"2-mercapto-4,6-dimethylpyrimidine hydrochloride",Cc1cc(C)[nH+]c(=S)[nH]1.[Cl-],24.5,353K,0.25mg/L,71.30%
11275,"2-mercapto-4,6-dimethylpyrimidine hydrochloride",Cc1cc(C)[nH+]c(=S)[nH]1.[Cl-],24.5,363K,5mg/L,90.50%
11276,"2-mercapto-4,6-dimethylpyrimidine hydrochloride",Cc1cc(C)[nH+]c(=S)[nH]1.[Cl-],24.5,363K,2.5mg/L,89.90%
11277,"2-mercapto-4,6-dimethylpyrimidine hydrochloride",Cc1cc(C)[nH+]c(=S)[nH]1.[Cl-],24.5,363K,1mg/L,83.00%
11278,"2-mercapto-4,6-dimethylpyrimidine hydrochloride",Cc1cc(C)[nH+]c(=S)[nH]1.[Cl-],24.5,363K,0.5mg/L,80.70%
11279,"2-mercapto-4,6-dimethylpyrimidine hydrochloride",Cc1cc(C)[nH+]c(=S)[nH]1.[Cl-],24.5,363K,0.25mg/L,88.70%
11280,"hydroxyethyl imidazoline (1H-imidazoleethanol,4,5-dihydro,-2-C15-17 unsaturated alkyl derivatives, HEI-18I",CCCCCCC/C=C/CCCCCCCC/C1=N/CCN1CCO,30,323K,20ppm,62.20%
11281,"hydroxyethyl imidazoline (1H-imidazoleethanol,4,5-dihydro,-2-nor coco alkyl derivatives, HEI-12",CCCCCCCCCCCC/C1=N/CCN1CCO,30,323K,20ppm,63.90%
11282,"hydroxyethyl imidazoline (1H-imidazole-ethanol,2-Heptadecyl-4,5-Dihydro, HEI-18",CCCCCCCCCCCCCCCCC/C1=N/CCN1CCO,30,323K,20ppm,54.90%
11286,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,298K,5mg/L,81.90%
11287,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,298K,10mg/L,87.20%
11288,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,298K,15mg/L,91.30%
11289,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,298K,20mg/L,92.90%
11290,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,298K,25mg/L,94.70%
11291,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,308K,5mg/L,82.20%
11292,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,308K,10mg/L,88.10%
11293,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,308K,15mg/L,91.70%
11294,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,308K,20mg/L,93.30%
11295,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,308K,25mg/L,95.10%
11296,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,318K,5mg/L,83.90%
11297,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,318K,10mg/L,88.80%
11298,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,318K,15mg/L,92.30%
11299,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,318K,20mg/L,94.10%
11300,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,318K,25mg/L,95.40%
11301,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,328K,5mg/L,83.10%
11302,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,328K,10mg/L,86.60%
11303,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,328K,15mg/L,89.00%
11304,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,328K,20mg/L,90.90%
11305,imidazoline derivative inhibitor,CCCCCCCCCCCC/C1=N/CC[N+]1(CCN)CC(O)COP(=O)(O)[O-].[Na+],0,328K,25mg/L,92.80%
11306,imidazoline derivative,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,50,298K,10ppm,93.06%
11307,imidazoline derivative,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,50,298K,50ppm,98.33%
11308,imidazoline derivative,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,50,298K,100ppm,98.88%
11309,imidazoline derivative,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,50,298K,200ppm,98.95%
11310,imidazoline derivative,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,50,318K,50ppm,98.35%
11311,imidazoline derivative,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,50,333K,50ppm,97.36%
11312,imidazoline derivative,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,50,348K,50ppm,95.04%
11313,"N,N0-bis-(2-thionobenzothiazolin-3-yl-methyl)-n-dodecylamine (BTBMDA)",CCCCCCCCCCCCN(n2c(=S)sc1ccccc12)n4c(=S)sc3ccccc34,0,363K,10ppm,80.20%
11314,"N,N0-bis-(2-thionobenzothiazolin-3-yl-methyl)-n-dodecylamine (BTBMDA)",CCCCCCCCCCCCN(n2c(=S)sc1ccccc12)n4c(=S)sc3ccccc34,0,363K,20ppm,87.00%
11315,"N,N0-bis-(2-thionobenzothiazolin-3-yl-methyl)-n-dodecylamine (BTBMDA)",CCCCCCCCCCCCN(n2c(=S)sc1ccccc12)n4c(=S)sc3ccccc34,0,363K,30ppm,89.80%
11316,"N,N0-bis-(2-thionobenzothiazolin3-yl-methyl)-n-octadecylamine",CCCCCCCCCCCCCCCCCCN(n2c(=S)sc1ccccc12)n4c(=S)sc3ccccc34,0,363K,20ppm,83.60%
11317,"N,N0-bis-(2-thionobenzothiazolin3-yl-methyl)-n-octadecylamine",CCCCCCCCCCCCCCCCCCN(n2c(=S)sc1ccccc12)n4c(=S)sc3ccccc34,0,363K,30ppm,91.90%
11318,quaternary amine (QA),CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],30,298K,30ppm,86.63%
11319,quaternary amine (QA),CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],30,298K,30ppm,96.86%
11320,quaternary amine (QA),CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],30,298K,30ppm,97.08%
11321,quaternary amine (QA),CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],30,298K,30ppm,93.64%
11322,quaternary amine (QA),CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],30,298K,30ppm,91.77%
11323,quaternary amine (QA),CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],30,298K,30ppm,92.39%
11324,oleic imidazoline (OI),CCCCCCCC/C=C/CCCCCCCc1nccn1CCN,30,298K,30ppm,77.96%
11325,oleic imidazoline (OI),CCCCCCCC/C=C/CCCCCCCc1nccn1CCN,30,298K,30ppm,96.41%
11326,oleic imidazoline (OI),CCCCCCCC/C=C/CCCCCCCc1nccn1CCN,30,298K,30ppm,96.16%
11327,oleic imidazoline (OI),CCCCCCCC/C=C/CCCCCCCc1nccn1CCN,30,298K,30ppm,94.05%
11328,oleic imidazoline (OI),CCCCCCCC/C=C/CCCCCCCc1nccn1CCN,30,298K,30ppm,91.93%
11329,oleic imidazoline (OI),CCCCCCCC/C=C/CCCCCCCc1nccn1CCN,30,298K,30ppm,91.51%
11330,amino coco propionic acid (ACP),CCCCCCCCCCCCCCNCCC(=O)O,30,298K,30ppm,93.64%
11331,amino coco propionic acid (ACP),CCCCCCCCCCCCCCNCCC(=O)O,30,298K,30ppm,95.09%
11332,amino coco propionic acid (ACP),CCCCCCCCCCCCCCNCCC(=O)O,30,298K,30ppm,95.11%
11333,amino coco propionic acid (ACP),CCCCCCCCCCCCCCNCCC(=O)O,30,298K,30ppm,93.68%
11334,amino coco propionic acid (ACP),CCCCCCCCCCCCCCNCCC(=O)O,30,298K,30ppm,92.42%
11335,amino coco propionic acid (ACP),CCCCCCCCCCCCCCNCCC(=O)O,30,298K,30ppm,91.95%
11336,hydroxyethyl (HEI-18b),CCCCCCCCCCCCCCCCC/C1=N/CCN1CCO,30,323K,20ppm,54.80%
11337,aminoethyl (AEI-18),CCCCCCCCCCCCCCCCC/C1=N/CCN1CCN,30,323K,20ppm,60.20%
11338,amidoethyl (AMEI-18) imidazolines,CCCCCCCCCCCCCCCCCC(=O)NCCN1CC/N=C1/CCCCCCCCCCCCCCCCC,30,323K,20ppm,35.70%
11342,dodecylamine,CCCCCCCCCCCCN,30,323K,4ppm,3.00%
11343,dodecylamine,CCCCCCCCCCCCN,30,323K,80ppm,39.00%
11344,dodecylamine,CCCCCCCCCCCCN,30,323K,120ppm,52.00%
11345,dodecylamine,CCCCCCCCCCCCN,30,323K,10ppm,98.50%
11346,dodecylamine,CCCCCCCCCCCCN,30,323K,40ppm,99.10%
11347,dodecylamine,CCCCCCCCCCCCN,30,323K,80ppm,99.50%
11348,Hydroxyethyl (IA)imidazolines. R: Alkyl chain of C17,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCO,30,323K,20ppm,88.84%
11349,aminoethyl (IB) imidazolines. R: Alkyl chain of C17,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCN,30,323K,20ppm,96.12%
11350,amidoethyl (IC) imidazolines. R: Alkyl chain of C17,CCCCCCCCCCCCCCCCCC(=O)NCCN1CC/N=C1/CCCCCCCCCCCCCCCCC,30,323K,20ppm,97.88%
11351,Hydroxyethyl (HEI-18I) imidazolines. R: Alkyl chain of C17,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCO,30,323K,20ppm,99.99%
11352,aminoethyl (AEI-18) imidazolines. R: Alkyl chain of C17,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCN,30,323K,20ppm,99.96%
11353,amidoethyl (AMEI-18) imidazolines. R: Alkyl chain of C17,CCCCCCCCCCCCCCCCCC(=O)NCCN1CC/N=C1/CCCCCCCCCCCCCCCCC,30,323K,20ppm,99.99%
11357,quaternary alkynoxymethyl amine (IMC-80Q),C#CCOC[N+](CCCCCC)(COCC#C)Cc1ccccc1.[Cl-],30,298K,25mg/L,1.90%
11358,quaternary alkynoxymethyl amine (IMC-80Q),C#CCOC[N+](CCCCCC)(COCC#C)Cc1ccccc1.[Cl-],30,298K,50mg/L,64.00%
11359,quaternary alkynoxymethyl amine (IMC-80Q),C#CCOC[N+](CCCCCC)(COCC#C)Cc1ccccc1.[Cl-],30,298K,100mg/L,71.00%
11360,quaternary alkynoxymethyl amine (IMC-80Q),C#CCOC[N+](CCCCCC)(COCC#C)Cc1ccccc1.[Cl-],30,298K,150mg/L,78.20%
11361,quaternary alkynoxymethyl amine (IMC-80Q),C#CCOC[N+](CCCCCC)(COCC#C)Cc1ccccc1.[Cl-],30,298K,200mg/L,29.10%
11362,quaternary alkynoxymethyl amine (IMC-80Q),C#CCOC[N+](CCCCCC)(COCC#C)Cc1ccccc1.[Cl-],30,298K,250mg/L,47.60%
11363,quaternary alkynoxymethyl amine (IMC-80Q),C#CCOC[N+](CCCCCC)(COCC#C)Cc1ccccc1.[Cl-],30,298K,300mg/L,38.80%
11364,imidazoline,CCCC/C1=N/CCN1CCNCCN,30,298K,25mg/L,49.00%
11365,imidazoline,CCCC/C1=N/CCN1CCNCCN,30,298K,75mg/L,68.70%
11366,imidazoline,CCCC/C1=N/CCN1CCNCCN,30,298K,100mg/L,84.20%
11367,imidazoline,CCCC/C1=N/CCN1CCNCCN,30,298K,125mg/L,60.20%
11368,1-羟乙基硫酸酯-2-十七烯基咪唑啉,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCOS(=O)(=O)[O-].[Na+],30,303K,5mg/L,68.79%
11369,1-羟乙基硫酸酯-2-十七烯基咪唑啉,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCOS(=O)(=O)[O-].[Na+],30,303K,10mg/L,69.02%
11370,1-羟乙基硫酸酯-2-十七烯基咪唑啉,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCOS(=O)(=O)[O-].[Na+],30,303K,30mg/L,78.74%
11371,1-羟乙基硫酸酯-2-十七烯基咪唑啉,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCOS(=O)(=O)[O-].[Na+],30,303K,50mg/L,82.70%
11372,1-羟乙基硫酸酯-2-十七烯基咪唑啉,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCOS(=O)(=O)[O-].[Na+],30,303K,100mg/L,85.75%
11373,1-氨乙基-1-羧甲基-2-十七烯基氯化咪唑啉,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[N+]1(CCN)CC(=O)O.[Cl-],30,303K,5mg/L,68.45%
11374,1-氨乙基-1-羧甲基-2-十七烯基氯化咪唑啉,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[N+]1(CCN)CC(=O)O.[Cl-],30,303K,10mg/L,71.51%
11375,1-氨乙基-1-羧甲基-2-十七烯基氯化咪唑啉,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[N+]1(CCN)CC(=O)O.[Cl-],30,303K,20mg/L,91.07%
11376,1-氨乙基-1-羧甲基-2-十七烯基氯化咪唑啉,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[N+]1(CCN)CC(=O)O.[Cl-],30,303K,30mg/L,91.14%
11377,1-氨乙基-1-羧甲基-2-十七烯基氯化咪唑啉,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[N+]1(CCN)CC(=O)O.[Cl-],30,303K,50mg/L,91.35%
11378,1-氨乙基-1-羧甲基-2-十七烯基氯化咪唑啉,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[N+]1(CCN)CC(=O)O.[Cl-],30,303K,100mg/L,93.08%
11379,1-羟乙基-2-十七烯基咪唑啉乙酸盐,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[NH+]1CCO.CC(=O)[O-],30,303K,5mg/L,55.46%
11380,1-羟乙基-2-十七烯基咪唑啉乙酸盐,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[NH+]1CCO.CC(=O)[O-],30,303K,10mg/L,40.98
11381,1-羟乙基-2-十七烯基咪唑啉乙酸盐,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[NH+]1CCO.CC(=O)[O-],30,303K,30mg/L,84.48%
11382,1-羟乙基-2-十七烯基咪唑啉乙酸盐,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[NH+]1CCO.CC(=O)[O-],30,303K,50mg/L,86.21%
11383,1-羟乙基-2-十七烯基咪唑啉乙酸盐,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[NH+]1CCO.CC(=O)[O-],30,303K,100mg/L,92.64%
11384,1-氨乙基2-十七烯基咪唑啉乙酸盐,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[NH+]1CCN.CC(=O)[O-],30,303K,5mg/L,57.16%
11385,1-氨乙基2-十七烯基咪唑啉乙酸盐,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[NH+]1CCN.CC(=O)[O-],30,303K,10mg/L,75.23%
11386,1-氨乙基2-十七烯基咪唑啉乙酸盐,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[NH+]1CCN.CC(=O)[O-],30,303K,30mg/L,89.35%
11387,1-氨乙基2-十七烯基咪唑啉乙酸盐,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[NH+]1CCN.CC(=O)[O-],30,303K,50mg/L,88.53%
11388,1-氨乙基2-十七烯基咪唑啉乙酸盐,CCCCCCCC/C=C/CCCCCCC/C1=N/CC[NH+]1CCN.CC(=O)[O-],30,303K,100mg/L,90.13%
11389,"3-amino-1,2,4-triazole (ATA)",Nc1nc[nH]n1,25,363K,1×10-3 M,50.00%
11390,"3-amino-1,2,4-triazole (ATA)",Nc1nc[nH]n1,25,363K,5×10-3 M,69.00%
11391,"3-amino-1,2,4-triazole (ATA)",Nc1nc[nH]n1,25,363K,1×10-2 M,76.00%
11392,"3-amino-1,2,4-triazole (ATA)",Nc1nc[nH]n1,25,363K,1.5×10-2 M,84.00%
11393,"3-amino-1,2,4-triazole (ATA)",Nc1nc[nH]n1,25,363K,2×10-2 M,85.00%
11394,"2-amino-1,3,4 thiadiazole (ATDA)",Nc1nncs1,25,363K,1×10-3 M,34.00%
11395,"2-amino-1,3,4 thiadiazole (ATDA)",Nc1nncs1,25,363K,5×10-3 M,50.00%
11396,"2-amino-1,3,4 thiadiazole (ATDA)",Nc1nncs1,25,363K,1×10-2 M,61.00%
11397,"2-amino-1,3,4 thiadiazole (ATDA)",Nc1nncs1,25,363K,1.5×10-2 M,70.00%
11398,"2-amino-1,3,4 thiadiazole (ATDA)",Nc1nncs1,25,363K,2×10-2 M,77.00%
11399,"5-tolyl 1,3,4 triazole (TTA)",Cc2ccc(c1nnc[nH]1)cc2,25,363K,1×10-3 M,37.00%
11400,"5-tolyl 1,3,4 triazole (TTA)",Cc2ccc(c1nnc[nH]1)cc2,25,363K,5×10-3 M,49.00%
11401,"5-tolyl 1,3,4 triazole (TTA)",Cc2ccc(c1nnc[nH]1)cc2,25,363K,1×10-2 M,63.00%
11402,"5-tolyl 1,3,4 triazole (TTA)",Cc2ccc(c1nnc[nH]1)cc2,25,363K,1.5×10-2 M,66.00%
11403,"5-tolyl 1,3,4 triazole (TTA)",Cc2ccc(c1nnc[nH]1)cc2,25,363K,2×10-2 M,73.00%
11404,"3-amino-5-metil merkapto-1,2,4triazole (AMTA)",CSc1nc(N)n[nH]1,25,363K,1×10-3 M,51.00%
11405,"3-amino-5-metil merkapto-1,2,4triazole (AMTA)",CSc1nc(N)n[nH]1,25,363K,5×10-3 M,68.00%
11406,"3-amino-5-metil merkapto-1,2,4triazole (AMTA)",CSc1nc(N)n[nH]1,25,363K,1×10-2 M,72.00%
11407,"3-amino-5-metil merkapto-1,2,4triazole (AMTA)",CSc1nc(N)n[nH]1,25,363K,1.5×10-2 M,75.00%
11408,"3-amino-5-metil merkapto-1,2,4triazole (AMTA)",CSc1nc(N)n[nH]1,25,363K,2×10-2 M,80.00%
11409,2-aminobenziotriazole (ABA),N[n+]2nc1ccccc1[nH]2,25,363K,1×10-3 M,69.00%
11410,2-aminobenziotriazole (ABA),N[n+]2nc1ccccc1[nH]2,25,363K,5×10-3 M,77.00%
11411,2-aminobenziotriazole (ABA),N[n+]2nc1ccccc1[nH]2,25,363K,1×10-2 M,83.00%
11412,2-aminobenziotriazole (ABA),N[n+]2nc1ccccc1[nH]2,25,363K,1.5×10-2 M,88.00%
11413,2-aminobenziotriazole (ABA),N[n+]2nc1ccccc1[nH]2,25,363K,2×10-2 M,93.00%
11414,"3-amino-1,2,4-triazole (ATA)",Nc1nc[nH]n1,35,363K,1×10-3 M,51.00%
11415,"3-amino-1,2,4-triazole (ATA)",Nc1nc[nH]n1,35,363K,5×10-3 M,64.00%
11416,"3-amino-1,2,4-triazole (ATA)",Nc1nc[nH]n1,35,363K,1×10-2 M,77.00%
11417,"3-amino-1,2,4-triazole (ATA)",Nc1nc[nH]n1,35,363K,1.5×10-2 M,83.00%
11418,"3-amino-1,2,4-triazole (ATA)",Nc1nc[nH]n1,35,363K,2×10-2 M,86.00%
11419,"2-amino-1,3,4 thiadiazole (ATDA)",Nc1nncs1,35,363K,1×10-3 M,35.00%
11420,"2-amino-1,3,4 thiadiazole (ATDA)",Nc1nncs1,35,363K,5×10-3 M,53.00%
11421,"2-amino-1,3,4 thiadiazole (ATDA)",Nc1nncs1,35,363K,1×10-2 M,61.00%
11422,"2-amino-1,3,4 thiadiazole (ATDA)",Nc1nncs1,35,363K,1.5×10-2 M,71.00%
11423,"2-amino-1,3,4 thiadiazole (ATDA)",Nc1nncs1,35,363K,2×10-2 M,78.00%
11424,"5-tolyl 1,3,4 triazole (TTA)",Cc2ccc(c1nnc[nH]1)cc2,35,363K,1×10-3 M,37.00%
11425,"5-tolyl 1,3,4 triazole (TTA)",Cc2ccc(c1nnc[nH]1)cc2,35,363K,5×10-3 M,49.00%
11426,"5-tolyl 1,3,4 triazole (TTA)",Cc2ccc(c1nnc[nH]1)cc2,35,363K,1×10-2 M,64.00%
11427,"5-tolyl 1,3,4 triazole (TTA)",Cc2ccc(c1nnc[nH]1)cc2,35,363K,1.5×10-2 M,67.00%
11428,"5-tolyl 1,3,4 triazole (TTA)",Cc2ccc(c1nnc[nH]1)cc2,35,363K,2×10-2 M,73.00%
11429,"3-amino-5-metil merkapto-1,2,4triazole (AMTA)",CSc1nc(N)n[nH]1,35,363K,1×10-3 M,54.00%
11430,"3-amino-5-metil merkapto-1,2,4triazole (AMTA)",CSc1nc(N)n[nH]1,35,363K,5×10-3 M,70.00%
11431,"3-amino-5-metil merkapto-1,2,4triazole (AMTA)",CSc1nc(N)n[nH]1,35,363K,1×10-2 M,74.00%
11432,"3-amino-5-metil merkapto-1,2,4triazole (AMTA)",CSc1nc(N)n[nH]1,35,363K,1.5×10-2 M,77.00%
11433,"3-amino-5-metil merkapto-1,2,4triazole (AMTA)",CSc1nc(N)n[nH]1,35,363K,2×10-2 M,83.00%
11434,2-aminobenziotriazole (ABA),N[n+]2nc1ccccc1[nH]2,35,363K,1×10-3 M,58.00%
11435,2-aminobenziotriazole (ABA),N[n+]2nc1ccccc1[nH]2,35,363K,5×10-3 M,79.00%
11436,2-aminobenziotriazole (ABA),N[n+]2nc1ccccc1[nH]2,35,363K,1×10-2 M,83.00%
11437,2-aminobenziotriazole (ABA),N[n+]2nc1ccccc1[nH]2,35,363K,1.5×10-2 M,89.00%
11438,2-aminobenziotriazole (ABA),N[n+]2nc1ccccc1[nH]2,35,363K,2×10-2 M,94.00%
11439,tannic acid,O=C(OC[C@H]7O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c1cc(O)c(O)c(O)c1)c2)[C@H](OC(=O)c4cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c4)[C@@H](OC(=O)c6cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c6)[C@@H]7OC(=O)c9cc(O)c(O)c(OC(=O)c8cc(O)c(O)c(O)c8)c9)c%11cc(O)c(O)c(OC(=O)c%10cc(O)c(O)c(O)c%10)c%11,35,298K,100ppm,24.90%
11440,tannic acid,O=C(OC[C@H]7O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c1cc(O)c(O)c(O)c1)c2)[C@H](OC(=O)c4cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c4)[C@@H](OC(=O)c6cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c6)[C@@H]7OC(=O)c9cc(O)c(O)c(OC(=O)c8cc(O)c(O)c(O)c8)c9)c%11cc(O)c(O)c(OC(=O)c%10cc(O)c(O)c(O)c%10)c%11,35,298K,250ppm,43.40%
11441,tannic acid,O=C(OC[C@H]7O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c1cc(O)c(O)c(O)c1)c2)[C@H](OC(=O)c4cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c4)[C@@H](OC(=O)c6cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c6)[C@@H]7OC(=O)c9cc(O)c(O)c(OC(=O)c8cc(O)c(O)c(O)c8)c9)c%11cc(O)c(O)c(OC(=O)c%10cc(O)c(O)c(O)c%10)c%11,35,298K,500ppm,51.70%
11442,tannic acid,O=C(OC[C@H]7O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c1cc(O)c(O)c(O)c1)c2)[C@H](OC(=O)c4cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c4)[C@@H](OC(=O)c6cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c6)[C@@H]7OC(=O)c9cc(O)c(O)c(OC(=O)c8cc(O)c(O)c(O)c8)c9)c%11cc(O)c(O)c(OC(=O)c%10cc(O)c(O)c(O)c%10)c%11,35,298K,1000ppm,46.90%
11443,2-Mercaptobenzimidazole,Sc2nc1ccccc1[nH]2,35,323K,5ppm,70%
11444,2-Mercaptobenzimidazole,Sc2nc1ccccc1[nH]2,35,323K,10ppm,80%
11445,2-Mercaptobenzimidazole,Sc2nc1ccccc1[nH]2,35,323K,25ppm,70%
11446,2-Mercaptobenzimidazole,Sc2nc1ccccc1[nH]2,35,323K,50ppm,60%
11447,2-Mercaptobenzimidazole,Sc2nc1ccccc1[nH]2,35,323K,100ppm,50%
11448,2-Mercaptobenzimidazole,Sc2nc1ccccc1[nH]2,35,323K,5ppm,80%
11449,2-Mercaptobenzimidazole,Sc2nc1ccccc1[nH]2,35,323K,10ppm,40%
11450,2-Mercaptobenzimidazole,Sc2nc1ccccc1[nH]2,35,323K,25ppm,40%
11451,2-Mercaptobenzimidazole,Sc2nc1ccccc1[nH]2,35,323K,50ppm,20%
11452,2-Mercaptobenzimidazole,Sc2nc1ccccc1[nH]2,35,323K,100ppm,20%
11453,2–(chloromethyl)benzimidazole,ClCc2nc1ccccc1[nH]2,35,297K,1ppm,91.71%
11454,2–(chloromethyl)benzimidazole,ClCc2nc1ccccc1[nH]2,35,297K,5ppm,93.31%
11455,2–(chloromethyl)benzimidazole,ClCc2nc1ccccc1[nH]2,35,297K,10ppm,94.79%
11456,2–(chloromethyl)benzimidazole,ClCc2nc1ccccc1[nH]2,35,297K,50ppm,95.21%
11457,2–(chloromethyl)benzimidazole,ClCc2nc1ccccc1[nH]2,50,297K,10ppm,88.39%
11458,2–(chloromethyl)benzimidazole,ClCc2nc1ccccc1[nH]2,70,297K,10ppm,84.29%
